backend,table_name,column_name,llm_raw
qwen3-4b,subscribers,email,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 1.0, ""reason"": ""이메일 주소는 한국 개인정보보호법에서 명시된 개인 식별 정보 중 하나로, 개인 식별 가능성이 높으며 샘플값이 실제 사용자 이메일 패턴을 보여주고 있음""}"
qwen3-4b,subscribers,address,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""샘플값에서 주소에 이름이 함께 포함되어 있으며, 한국 개인정보보호법에서 주소는 개인 식별 가능한 정보로 분류되며, 이름과 주소의 결합은 개인 식별에 직접적으로 기여하기 때문에 PERSONAL_INFO에 해당한다.""}"
qwen3-4b,cs_consultations,consult_note,"{""is_pii"": true, ""category"": ""IDENTIFICATION"", ""confidence"": 0.98, ""reason"": ""샘플값에서 주민번호(예: 911214-4461939, 000722-1687101, 850204-1952583) 및 IMEI(예: 199800414999077, 771816435889117)가 명시되어 있으며, 주민등록번호와 IMEI는 한국 개인정보보호법에서 정의된 개인 식별 가능한 고유번호에 해당한다.""}"
qwen3-4b,call_records,call_ts,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.99, ""reason"": ""컬럼명 call_ts는 전화 통화 기록의 시간을 나타내며, 샘플값은 날짜와 시간 형식으로 구성되어 있어 업무용 날짜(통화 일시)에 해당하며 한국 개인정보보호법에서 가입일/청구월/납기일/입사일과 같은 업무용 날짜는 NON_PII에 포함된다.""}"
qwen3-4b,cs_consultations,subscriber_id,"{""is_pii"": true, ""category"": ""IDENTIFICATION"", ""confidence"": 0.98, ""reason"": ""샘플값에서 SUB00100271과 같은 패턴을 확인할 수 있으며, 고유번호 형식으로 구성되어 있어 개인 식별에 사용될 수 있으며, 한국 개인정보보호법에서 고유번호는 IDENTIFICATION 카테고리에 해당한다.""}"
qwen3-4b,call_records,caller_no,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""컬럼명 caller_no와 샘플값이 010-XXXX-XXXX 형식의 휴대폰번호를 나타내며, 한국에서 개인 식별에 사용되는 휴대폰번호에 해당한다.""}"
qwen3-4b,call_records,callee_no,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""컬럼명 callee_no와 샘플값이 010-XXXX-XXXX 형식의 휴대폰번호를 나타내며, 한국에서 개인 식별에 사용되는 휴대폰번호에 해당한다.""}"
qwen3-4b,employees,email,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""이메일 주소는 개인 식별에 사용되며, 한국 개인정보보호법에서 이름, 휴대폰, 이메일 등이 포함된 개인 정보에 해당한다.""}"
qwen3-4b,employees,phone,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""휴대폰 번호는 한국 개인정보보호법에서 개인 식별이 가능한 정보로, 이름, 이메일과 함께 개인 정보 카테고리에 포함된다.""}"
qwen3-4b,subscribers,birth_date,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 1.0, ""reason"": ""생년월일은 한국 개인정보보호법에서 명시된 개인 식별 정보에 포함되며, 샘플값이 생년월일 형식을 명확히 보여줍니다.""}"
