review_id,store_name,review_text,rating
REV00000001,텔코 수원역점,대기 시간이 길었지만 처리는 깔끔했어요.,3
REV00000002,텔코스토어 종로,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000003,텔코 대전둔산점,대기 시간이 길었지만 처리는 깔끔했어요.,1
REV00000004,텔코 수원역점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,1
REV00000005,telco 광주충장로,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000006,텔코플라자 부산서면,신호가 약한 지역인데 안내가 좋았습니다.,5
REV00000007,텔코 대전둔산점,가격이 합리적이고 사은품도 좋았습니다.,4
REV00000008,텔코 수원역점,대기 시간이 길었지만 처리는 깔끔했어요.,5
REV00000009,텔코스토어 종로,신호가 약한 지역인데 안내가 좋았습니다.,5
REV00000010,텔코 대전둔산점,재방문 의사 있어요. 추천합니다.,3
REV00000011,telco 광주충장로,재방문 의사 있어요. 추천합니다.,2
REV00000012,텔코플라자 부산서면,이미영 점장님이 추천해준 요금제 아주 만족스러워요.,1
REV00000013,텔코스토어 종로,신호가 약한 지역인데 안내가 좋았습니다.,3
REV00000014,텔코플라자 부산서면,재방문 의사 있어요. 추천합니다.,2
REV00000015,텔코플라자 부산서면,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,4
REV00000016,텔코강남점,대기 시간이 길었지만 처리는 깔끔했어요.,5
REV00000017,텔코스토어 종로,매장 직원이 친절했어요. 개통도 빨랐습니다.,1
REV00000018,텔코스토어 종로,이준혁 점장님이 추천해준 요금제 아주 만족스러워요.,3
REV00000019,텔코스토어 종로,재방문 의사 있어요. 추천합니다.,3
REV00000020,telco 광주충장로,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,2
REV00000021,텔코스토어 종로,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,1
REV00000022,텔코스토어 종로,상담사 배영희님 덕분에 빠르게 해결했어요. 직통 010-9466-7845 공유받음.,2
REV00000023,텔코 수원역점,신호가 약한 지역인데 안내가 좋았습니다.,4
REV00000024,텔코스토어 종로,상담사 장영숙님 덕분에 빠르게 해결했어요. 직통 010-7940-4792 공유받음.,5
REV00000025,텔코 대전둔산점,가격이 합리적이고 사은품도 좋았습니다.,1
REV00000026,telco 광주충장로,신호가 약한 지역인데 안내가 좋았습니다.,2
REV00000027,telco 광주충장로,상담사 임예지님 덕분에 빠르게 해결했어요. 직통 010-5962-3965 공유받음.,3
REV00000028,텔코강남점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,5
REV00000029,telco 광주충장로,상담사 박준호님 덕분에 빠르게 해결했어요. 직통 010-7009-1484 공유받음.,5
REV00000030,텔코스토어 종로,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000031,텔코강남점,가격이 합리적이고 사은품도 좋았습니다.,5
REV00000032,텔코 수원역점,재방문 의사 있어요. 추천합니다.,1
REV00000033,telco 광주충장로,대기 시간이 길었지만 처리는 깔끔했어요.,5
REV00000034,텔코 수원역점,대기 시간이 길었지만 처리는 깔끔했어요.,1
REV00000035,텔코플라자 부산서면,매장 직원이 친절했어요. 개통도 빨랐습니다.,5
REV00000036,텔코강남점,재방문 의사 있어요. 추천합니다.,1
REV00000037,텔코강남점,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000038,텔코 대전둔산점,상담사 이영숙님 덕분에 빠르게 해결했어요. 직통 010-4398-7864 공유받음.,3
REV00000039,텔코강남점,신호가 약한 지역인데 안내가 좋았습니다.,4
REV00000040,텔코플라자 부산서면,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000041,텔코 수원역점,매장 직원이 친절했어요. 개통도 빨랐습니다.,4
REV00000042,텔코 수원역점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000043,텔코 대전둔산점,임성민 점장님이 추천해준 요금제 아주 만족스러워요.,4
REV00000044,텔코스토어 종로,강은정 점장님이 추천해준 요금제 아주 만족스러워요.,5
REV00000045,텔코강남점,매장 직원이 친절했어요. 개통도 빨랐습니다.,3
REV00000046,텔코강남점,재방문 의사 있어요. 추천합니다.,5
REV00000047,텔코스토어 종로,이예진 점장님이 추천해준 요금제 아주 만족스러워요.,1
REV00000048,텔코강남점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,2
REV00000049,텔코 대전둔산점,매장 직원이 친절했어요. 개통도 빨랐습니다.,5
REV00000050,텔코플라자 부산서면,재방문 의사 있어요. 추천합니다.,2
REV00000051,텔코플라자 부산서면,신호가 약한 지역인데 안내가 좋았습니다.,2
REV00000052,텔코 대전둔산점,재방문 의사 있어요. 추천합니다.,3
REV00000053,텔코 수원역점,가격이 합리적이고 사은품도 좋았습니다.,3
REV00000054,텔코플라자 부산서면,가격이 합리적이고 사은품도 좋았습니다.,2
REV00000055,텔코 수원역점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000056,텔코강남점,매장 직원이 친절했어요. 개통도 빨랐습니다.,4
REV00000057,telco 광주충장로,신호가 약한 지역인데 안내가 좋았습니다.,4
REV00000058,텔코 수원역점,대기 시간이 길었지만 처리는 깔끔했어요.,1
REV00000059,텔코 수원역점,심현지 점장님이 추천해준 요금제 아주 만족스러워요.,1
REV00000060,텔코 수원역점,신호가 약한 지역인데 안내가 좋았습니다.,4
REV00000061,텔코강남점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000062,텔코 대전둔산점,상담사 양현지님 덕분에 빠르게 해결했어요. 직통 010-3375-8795 공유받음.,3
REV00000063,telco 광주충장로,신호가 약한 지역인데 안내가 좋았습니다.,4
REV00000064,텔코스토어 종로,상담사 김준영님 덕분에 빠르게 해결했어요. 직통 010-3624-8609 공유받음.,3
REV00000065,텔코강남점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,5
REV00000066,텔코 대전둔산점,매장 직원이 친절했어요. 개통도 빨랐습니다.,2
REV00000067,텔코 대전둔산점,대기 시간이 길었지만 처리는 깔끔했어요.,2
REV00000068,telco 광주충장로,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000069,텔코스토어 종로,대기 시간이 길었지만 처리는 깔끔했어요.,5
REV00000070,텔코강남점,매장 직원이 친절했어요. 개통도 빨랐습니다.,2
REV00000071,텔코 수원역점,가격이 합리적이고 사은품도 좋았습니다.,2
REV00000072,텔코강남점,가격이 합리적이고 사은품도 좋았습니다.,5
REV00000073,텔코 수원역점,대기 시간이 길었지만 처리는 깔끔했어요.,1
REV00000074,텔코 수원역점,재방문 의사 있어요. 추천합니다.,2
REV00000075,텔코플라자 부산서면,매장 직원이 친절했어요. 개통도 빨랐습니다.,2
REV00000076,텔코 수원역점,재방문 의사 있어요. 추천합니다.,4
REV00000077,텔코 수원역점,가격이 합리적이고 사은품도 좋았습니다.,2
REV00000078,텔코 수원역점,재방문 의사 있어요. 추천합니다.,2
REV00000079,텔코강남점,가격이 합리적이고 사은품도 좋았습니다.,2
REV00000080,텔코 대전둔산점,매장 직원이 친절했어요. 개통도 빨랐습니다.,2
REV00000081,텔코스토어 종로,신호가 약한 지역인데 안내가 좋았습니다.,3
REV00000082,텔코 수원역점,상담사 김경희님 덕분에 빠르게 해결했어요. 직통 010-3371-3001 공유받음.,2
REV00000083,텔코강남점,김영수 점장님이 추천해준 요금제 아주 만족스러워요.,5
REV00000084,텔코강남점,가격이 합리적이고 사은품도 좋았습니다.,4
REV00000085,텔코강남점,상담사 김진호님 덕분에 빠르게 해결했어요. 직통 01061147614 공유받음.,4
REV00000086,텔코강남점,상담사 이선영님 덕분에 빠르게 해결했어요. 직통 01051169617 공유받음.,1
REV00000087,텔코스토어 종로,재방문 의사 있어요. 추천합니다.,5
REV00000088,telco 광주충장로,매장 직원이 친절했어요. 개통도 빨랐습니다.,5
REV00000089,텔코 수원역점,신호가 약한 지역인데 안내가 좋았습니다.,5
REV00000090,텔코스토어 종로,재방문 의사 있어요. 추천합니다.,5
REV00000091,telco 광주충장로,대기 시간이 길었지만 처리는 깔끔했어요.,5
REV00000092,텔코 수원역점,재방문 의사 있어요. 추천합니다.,3
REV00000093,telco 광주충장로,재방문 의사 있어요. 추천합니다.,3
REV00000094,telco 광주충장로,김성수 점장님이 추천해준 요금제 아주 만족스러워요.,1
REV00000095,텔코강남점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,4
REV00000096,텔코 수원역점,대기 시간이 길었지만 처리는 깔끔했어요.,1
REV00000097,텔코스토어 종로,매장 직원이 친절했어요. 개통도 빨랐습니다.,4
REV00000098,텔코 대전둔산점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000099,telco 광주충장로,상담사 김종수님 덕분에 빠르게 해결했어요. 직통 010-8379-8517 공유받음.,5
REV00000100,텔코강남점,가격이 합리적이고 사은품도 좋았습니다.,4
REV00000101,텔코강남점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000102,텔코플라자 부산서면,상담사 권은지님 덕분에 빠르게 해결했어요. 직통 010-9520-5759 공유받음.,5
REV00000103,텔코강남점,대기 시간이 길었지만 처리는 깔끔했어요.,4
REV00000104,telco 광주충장로,재방문 의사 있어요. 추천합니다.,1
REV00000105,telco 광주충장로,대기 시간이 길었지만 처리는 깔끔했어요.,5
REV00000106,텔코스토어 종로,김현숙 점장님이 추천해준 요금제 아주 만족스러워요.,2
REV00000107,telco 광주충장로,오정웅 점장님이 추천해준 요금제 아주 만족스러워요.,4
REV00000108,텔코플라자 부산서면,신호가 약한 지역인데 안내가 좋았습니다.,3
REV00000109,텔코 대전둔산점,상담사 황수빈님 덕분에 빠르게 해결했어요. 직통 010-7996-6011 공유받음.,4
REV00000110,텔코 대전둔산점,가격이 합리적이고 사은품도 좋았습니다.,5
REV00000111,텔코플라자 부산서면,재방문 의사 있어요. 추천합니다.,1
REV00000112,텔코스토어 종로,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000113,telco 광주충장로,재방문 의사 있어요. 추천합니다.,4
REV00000114,텔코 대전둔산점,상담사 김도윤님 덕분에 빠르게 해결했어요. 직통 010-9440-2982 공유받음.,4
REV00000115,텔코 대전둔산점,가격이 합리적이고 사은품도 좋았습니다.,1
REV00000116,텔코강남점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000117,telco 광주충장로,신호가 약한 지역인데 안내가 좋았습니다.,3
REV00000118,텔코강남점,재방문 의사 있어요. 추천합니다.,2
REV00000119,텔코플라자 부산서면,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000120,텔코 수원역점,대기 시간이 길었지만 처리는 깔끔했어요.,5
REV00000121,텔코 수원역점,상담사 최상훈님 덕분에 빠르게 해결했어요. 직통 010-7208-5373 공유받음.,3
REV00000122,텔코스토어 종로,박지우 점장님이 추천해준 요금제 아주 만족스러워요.,5
REV00000123,텔코 수원역점,매장 직원이 친절했어요. 개통도 빨랐습니다.,1
REV00000124,텔코플라자 부산서면,매장 직원이 친절했어요. 개통도 빨랐습니다.,3
REV00000125,텔코스토어 종로,상담사 신광수님 덕분에 빠르게 해결했어요. 직통 01025357837 공유받음.,2
REV00000126,텔코 대전둔산점,장경자 점장님이 추천해준 요금제 아주 만족스러워요.,4
REV00000127,텔코스토어 종로,매장 직원이 친절했어요. 개통도 빨랐습니다.,5
REV00000128,텔코 수원역점,매장 직원이 친절했어요. 개통도 빨랐습니다.,4
REV00000129,텔코스토어 종로,대기 시간이 길었지만 처리는 깔끔했어요.,3
REV00000130,telco 광주충장로,권경자 점장님이 추천해준 요금제 아주 만족스러워요.,4
REV00000131,텔코강남점,상담사 황영자님 덕분에 빠르게 해결했어요. 직통 01072199871 공유받음.,4
REV00000132,텔코플라자 부산서면,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,5
REV00000133,텔코플라자 부산서면,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000134,텔코 대전둔산점,대기 시간이 길었지만 처리는 깔끔했어요.,1
REV00000135,텔코플라자 부산서면,상담사 권지민님 덕분에 빠르게 해결했어요. 직통 01020365689 공유받음.,1
REV00000136,텔코강남점,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000137,텔코플라자 부산서면,매장 직원이 친절했어요. 개통도 빨랐습니다.,1
REV00000138,텔코플라자 부산서면,매장 직원이 친절했어요. 개통도 빨랐습니다.,4
REV00000139,텔코스토어 종로,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,3
REV00000140,telco 광주충장로,신호가 약한 지역인데 안내가 좋았습니다.,1
REV00000141,텔코강남점,재방문 의사 있어요. 추천합니다.,4
REV00000142,텔코스토어 종로,재방문 의사 있어요. 추천합니다.,2
REV00000143,텔코 대전둔산점,요금제 설명이 좀 부족했네요. 그래도 만족합니다.,4
